"File","Line","Column","Severity","Message","Rule"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","19776","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","20256","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","20682","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","21512","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","22291","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","22369","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","23081","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","23220","error","Expected a 'break' statement before 'case'","no-fallthrough"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","23300","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","25099","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","25579","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","26005","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","26570","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","26686","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","27750","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","27830","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","28551","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","28690","error","Expected a 'break' statement before 'case'","no-fallthrough"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","28770","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","30569","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","31053","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","31479","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","32000","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","32116","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","33190","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","33270","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","33991","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","34130","error","Expected a 'break' statement before 'case'","no-fallthrough"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","34210","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","36034","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","36485","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","36911","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","37476","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","37592","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","38656","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","38736","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","39457","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","39596","error","Expected a 'break' statement before 'case'","no-fallthrough"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","39676","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","40620","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","40656","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","41005","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","41043","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","42935","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","43234","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","43764","error","Unexpected constant condition","no-constant-condition"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","12","43920","error","Unexpected constant condition","no-constant-condition"
